json_file_path	label
Dmitriy D./TASK 1/TASK1/json/d18d2c46f7c2ced5.json	right
Dmitriy D./TASK 1/TASK1/json/a53dfc3a9970a8f9.json	right
Dmitriy D./TASK 1/TASK1/json/e109b76c1ad88b54.json	center
Dmitriy D./TASK 1/TASK1/json/6afec57fcd86545f.json	right
Dmitriy D./TASK 1/TASK1/json/a77596757298f57d.json	center
Dmitriy D./TASK 1/TASK1/json/c1295fba65e0e8d0.json	right
Dmitriy D./TASK 1/TASK1/json/8b0dcb661a591ba6.json	right
Dmitriy D./TASK 1/TASK1/json/45a6a009ea9a48f6.json	left
Dmitriy D./TASK 1/TASK1/json/a054a8552b063af3.json	right
Dmitriy D./TASK 1/TASK1/json/6e47109904cc5b5a.json	right
Dmitriy D./TASK 1/TASK1/json/598f4e8b74a32676.json	left
Dmitriy D./TASK 1/TASK1/json/8469a092882393b6.json	right
Dmitriy D./TASK 1/TASK1/json/6eb4a7cce1d54a05.json	left
Dmitriy D./TASK 1/TASK1/json/c0fc25542f442523.json	center
Dmitriy D./TASK 1/TASK1/json/24114af536d3f164.json	center
Dmitriy D./TASK 1/TASK1/json/bd2763bf9d010fe5.json	left
Dmitriy D./TASK 1/TASK1/json/372669705c077784.json	right
Dmitriy D./TASK 1/TASK1/json/62d7b4602fac2f2e.json	center
Dmitriy D./TASK 1/TASK1/json/e57ae9eb453a95d0.json	left
Dmitriy D./TASK 1/TASK1/json/27e3067ce07ff411.json	left
Dmitriy D./TASK 1/TASK1/json/e0d1f4bf2e23d0f5.json	center
Dmitriy D./TASK 1/TASK1/json/f87b43a53de5da18.json	center
Dmitriy D./TASK 1/TASK1/json/acc7dcb2d44b41ac.json	left
Dmitriy D./TASK 1/TASK1/json/3792dcb6265043fd.json	right
Dmitriy D./TASK 1/TASK1/json/14c9e7ac58bae33c.json	center
Dmitriy D./TASK 1/TASK1/json/486dba4ecf6804fe.json	center
Dmitriy D./TASK 1/TASK1/json/2e83bfde4df0bed1.json	center
Dmitriy D./TASK 1/TASK1/json/78242e33820d3b94.json	left
Dmitriy D./TASK 1/TASK1/json/802c4ece4fbbf576.json	left
Dmitriy D./TASK 1/TASK1/json/c0a56a1dfcd01fa7.json	right
Dmitriy D./TASK 1/TASK1/json/75b85ac92c2ec5ec.json	left
Dmitriy D./TASK 1/TASK1/json/a85cd74b2d6100eb.json	center
Dmitriy D./TASK 1/TASK1/json/bedf00691b4f597b.json	right
Dmitriy D./TASK 1/TASK1/json/be9ef7e0caeff543.json	center
Dmitriy D./TASK 1/TASK1/json/4e6fbdaa263cc44d.json	left
Dmitriy D./TASK 1/TASK1/json/84855422c250dbc8.json	center
Dmitriy D./TASK 1/TASK1/json/db00ac796d6f0412.json	center
Dmitriy D./TASK 1/TASK1/json/d9333317886e0220.json	center
Dmitriy D./TASK 1/TASK1/json/dd837eaadc777c80.json	center
Dmitriy D./TASK 1/TASK1/json/7c721d2ceca7d66c.json	right
Dmitriy D./TASK 1/TASK1/json/b334573aa8096a83.json	left
Dmitriy D./TASK 1/TASK1/json/ddf1e84d24fb604e.json	center
Dmitriy D./TASK 1/TASK1/json/4575f1a2c0d36055.json	right
Dmitriy D./TASK 1/TASK1/json/8899d60efc25e185.json	left
Dmitriy D./TASK 1/TASK1/json/9aa9a5cd0a9cf8e3.json	center
Dmitriy D./TASK 1/TASK1/json/cc32667f1736c60e.json	right
Dmitriy D./TASK 1/TASK1/json/c45e617bff328486.json	right
Dmitriy D./TASK 1/TASK1/json/fcbdd917c81857d2.json	center
Dmitriy D./TASK 1/TASK1/json/8b152083bc8fbf51.json	center
Dmitriy D./TASK 1/TASK1/json/e4add09e989bc95d.json	right
Dmitriy D./TASK 1/TASK1/json/b946dfa52a02e1c3.json	left
Dmitriy D./TASK 1/TASK1/json/28ca6c062caab370.json	right
Dmitriy D./TASK 1/TASK1/json/cbc0fb4d6e633672.json	right
Dmitriy D./TASK 1/TASK1/json/bbe7cf4703317abc.json	left
Dmitriy D./TASK 1/TASK1/json/e2c92277817f6cd1.json	center
Dmitriy D./TASK 1/TASK1/json/a3d86ba297aeafe4.json	right
Dmitriy D./TASK 1/TASK1/json/5b362def908c80ad.json	center
Dmitriy D./TASK 1/TASK1/json/ad79bd03eaaac321.json	center
Dmitriy D./TASK 1/TASK1/json/93f2b0a678edf1b9.json	center
Dmitriy D./TASK 1/TASK1/json/ac3212a64d481329.json	left
Dmitriy D./TASK 1/TASK1/json/f0a4bc79ea0ca9e9.json	right
Dmitriy D./TASK 1/TASK1/json/f2dfbd40ea669dc1.json	right
Dmitriy D./TASK 1/TASK1/json/16a430911d97c4df.json	right
Dmitriy D./TASK 1/TASK1/json/489a703911653172.json	left
Dmitriy D./TASK 1/TASK1/json/6b39feef5cb6d58c.json	center
Dmitriy D./TASK 1/TASK1/json/a4c18369da25bc01.json	right
Dmitriy D./TASK 1/TASK1/json/9c9e44556400219f.json	center
Dmitriy D./TASK 1/TASK1/json/847a617a4ca44117.json	center
Dmitriy D./TASK 1/TASK1/json/3a45a9a87c45ca5a.json	right
Dmitriy D./TASK 1/TASK1/json/155d155e7dc121d0.json	right
Dmitriy D./TASK 1/TASK1/json/1e6152aed40a9e51.json	left
Dmitriy D./TASK 1/TASK1/json/14f37f5490cd1021.json	left
Dmitriy D./TASK 1/TASK1/json/1b479224345e166b.json	left
Dmitriy D./TASK 1/TASK1/json/d85d31c7db7ac56a.json	right
Dmitriy D./TASK 1/TASK1/json/9a6cf3714320799b.json	right
Dmitriy D./TASK 1/TASK1/json/3602f55f879b439c.json	right
Dmitriy D./TASK 1/TASK1/json/f78603445a067b2f.json	left
Dmitriy D./TASK 1/TASK1/json/8d5ce01664ac8fd8.json	right
Dmitriy D./TASK 1/TASK1/json/d833653378d2fee9.json	right
Dmitriy D./TASK 1/TASK1/json/70c3567b8408fd59.json	left
Dmitriy D./TASK 1/TASK1/json/efe6f8c6508fe9d0.json	left
Dmitriy D./TASK 1/TASK1/json/1c052182da52bafc.json	left
Dmitriy D./TASK 1/TASK1/json/106d511e80de278c.json	right
Dmitriy D./TASK 1/TASK1/json/0ff70707acfc62e4.json	center
